Education,Family,Income,Mortgage,Age,Securities Account,CreditCard,target
1,4,49,0,25,1,0,
1,3,34,0,45,1,0,
1,1,11,0,39,0,0,
2,1,100,0,35,0,0,
2,4,45,0,35,0,1,
2,4,29,155,37,0,0,
2,2,72,0,53,0,0,
3,1,22,0,50,0,1,
2,3,81,104,35,0,0,
3,1,180,0,34,0,0,
3,4,105,0,65,0,0,
2,3,45,0,29,0,0,
3,2,114,0,48,1,0,
2,4,40,0,59,0,0,
1,1,112,0,67,1,0,
3,1,22,0,60,0,1,
3,4,130,134,38,0,0,
1,4,81,0,42,0,0,
3,2,193,0,46,0,0,
2,1,21,0,55,1,1,
2,4,25,111,56,0,0,
3,3,63,0,57,0,0,
1,1,62,260,29,0,0,
1,2,43,163,44,1,0,
1,2,152,159,36,0,1,
1,3,29,97,43,0,0,
3,4,83,0,40,0,0,
1,1,158,0,46,0,1,
3,1,48,0,56,0,1,
2,1,119,0,38,0,1,
3,1,35,122,59,0,0,
2,1,29,0,40,0,0,
3,2,41,193,53,0,0,
3,3,18,0,30,0,0,
3,4,50,0,31,0,0,
1,3,81,0,48,0,0,
1,1,121,0,59,0,1,
3,1,71,198,51,0,0,
3,3,141,0,42,1,0,
3,4,80,285,38,0,0,
3,3,84,0,57,1,0,
1,3,60,0,34,0,0,
2,4,132,412,32,0,0,
1,1,45,0,39,0,0,
1,1,104,0,46,0,1,
1,4,52,0,57,0,1,
2,3,43,153,39,0,0,
3,4,194,211,37,1,1,
3,2,81,0,56,0,1,
1,1,49,0,40,0,1,
2,4,8,0,32,1,0,
1,1,131,0,61,0,0,
1,1,72,207,30,0,0,
3,3,190,240,50,0,0,
3,1,44,0,29,0,0,
1,2,139,0,41,0,0,
2,3,29,0,55,1,0,
3,2,131,0,56,0,0,
1,2,93,0,28,0,0,
1,2,188,455,31,0,0,
2,3,39,0,49,1,0,
1,1,125,112,47,1,0,
1,1,22,0,42,0,0,
2,4,32,0,42,0,0,
1,2,105,0,47,0,0,
1,1,131,0,59,0,1,
1,2,105,336,62,0,0,
3,4,45,132,53,1,0,
1,3,60,0,47,0,1,
1,4,20,0,53,0,0,
1,1,115,0,42,0,1,
2,4,69,0,53,0,0,
1,1,130,0,44,0,1,
3,1,85,0,41,0,1,
1,2,135,0,28,0,1,
2,4,135,0,31,0,1,
3,3,12,0,58,0,0,
2,3,29,0,46,0,0,
3,2,133,0,54,0,0,
1,2,19,118,50,0,0,
1,4,41,174,60,0,1,
2,3,40,0,47,0,0,
3,1,82,0,41,0,0,
2,1,50,0,33,0,0,
3,1,18,0,46,0,0,
3,4,109,0,27,0,0,
2,4,42,126,40,0,0,
1,3,78,0,48,0,0,
1,2,51,0,65,0,0,
3,4,113,0,25,0,1,
2,4,118,0,55,0,0,
3,4,29,0,35,0,0,
2,3,34,0,43,0,0,
3,2,64,236,60,1,0,
1,1,121,0,65,0,0,
3,4,48,0,38,0,0,
1,1,80,0,41,0,0,
1,1,161,0,54,0,0,
1,1,94,0,49,0,0,
3,3,15,0,66,0,0,
1,1,74,0,48,0,0,
2,3,30,0,61,0,0,
3,3,44,198,53,0,1,
2,2,22,0,43,0,0,
1,4,38,166,56,0,1,
2,3,35,0,24,1,0,
1,4,69,0,43,0,1,
1,1,43,136,42,0,0,
3,1,32,166,33,0,0,
1,1,49,0,43,0,0,
2,3,9,0,41,0,0,
2,4,45,0,62,0,0,
1,3,82,309,40,0,0,
1,2,92,103,58,0,0,
3,3,39,0,39,0,0,
2,3,81,0,65,0,0,
2,1,35,0,54,0,0,
3,2,61,193,58,0,0,
1,3,73,0,41,0,0,
1,1,112,366,32,0,0,
3,2,12,0,54,0,0,
3,3,38,0,52,0,0,
2,2,73,0,58,0,1,
2,1,84,0,37,1,0,
1,4,78,118,39,0,0,
1,3,80,0,60,0,0,
1,2,115,101,31,0,1,
2,1,82,251,34,0,0,
1,2,74,0,38,1,0,
3,3,70,0,41,0,1,
1,3,81,276,28,0,0,
2,4,149,0,58,0,1,
3,2,51,0,31,0,0,
2,3,39,0,30,0,0,
2,3,98,0,53,0,0,
1,4,45,0,58,0,1,
2,4,49,0,59,0,0,
1,2,128,0,49,0,0,
1,3,42,0,59,1,1,
3,1,18,0,59,0,0,
3,2,31,161,51,0,1,
1,3,58,149,35,0,1,
3,1,48,0,33,0,1,
1,4,54,0,25,0,1,
2,2,70,0,49,0,0,
1,1,124,0,59,0,1,
2,1,84,0,46,0,1,
3,4,83,188,50,0,0,
1,2,163,116,52,0,0,
2,3,42,0,48,0,0,
1,2,118,0,46,0,1,
3,3,132,0,26,0,1,
1,1,24,0,57,0,1,
1,2,22,0,60,1,1,
3,4,58,0,54,0,0,
1,4,60,0,24,0,0,
1,4,15,0,26,0,1,
1,4,83,0,41,0,1,
3,2,79,0,32,0,1,
2,4,41,0,61,1,0,
3,4,134,0,29,0,0,
1,2,80,0,61,0,0,
1,1,52,0,38,0,0,
1,4,70,0,28,0,0,
1,2,92,0,53,1,0,
1,1,43,0,27,0,0,
2,3,21,0,25,0,0,
3,3,23,0,33,0,1,
1,4,13,0,50,0,0,
3,4,112,0,27,0,1,
1,2,138,0,27,0,0,
1,3,11,0,52,1,0,
1,2,171,0,38,0,0,
1,4,42,0,58,0,1,
2,2,168,0,42,0,0,
2,4,85,0,45,1,0,
2,3,44,135,52,0,0,
2,4,65,244,29,0,0,
1,4,24,0,53,0,1,
1,1,11,0,62,0,0,
3,2,38,164,51,0,0,
2,4,10,81,36,0,0,
1,1,135,0,24,0,0,
1,3,148,0,29,0,0,
2,2,63,0,52,1,0,
3,1,115,0,39,0,0,
1,1,45,0,48,0,1,
3,3,159,315,46,0,0,
1,2,169,122,64,0,0,
1,2,112,0,55,0,0,
1,1,93,0,60,0,0,
3,1,29,140,51,0,0,
2,1,85,0,50,0,0,
1,4,21,0,48,0,1,
1,2,144,0,53,0,0,
1,4,13,95,34,1,0,
1,1,165,0,48,0,1,
1,4,9,89,55,0,0,
1,4,59,90,27,1,0,
3,1,158,0,36,0,1,
3,1,29,0,32,0,1,
3,2,20,0,35,0,1,
2,4,68,0,30,0,0,
1,4,65,0,58,0,0,
2,2,61,105,56,0,0,
2,4,91,100,38,0,1,
1,1,31,0,49,1,0,
2,4,71,0,34,0,0,
1,4,73,0,40,0,1,
1,4,172,282,64,0,1,
1,2,20,0,51,0,0,
1,1,55,0,44,0,0,
1,2,69,209,46,0,0,
1,1,155,0,57,0,0,
2,1,94,0,54,0,0,
1,2,92,249,38,0,1,
1,2,125,0,27,0,0,
1,3,74,0,39,0,0,
3,3,72,0,44,0,0,
3,1,61,0,56,0,1,
1,2,25,0,32,0,1,
2,2,83,0,45,0,0,
1,3,104,0,26,0,0,
3,3,41,0,55,0,0,
3,4,58,91,52,0,0,
3,1,93,0,39,0,1,
2,2,39,0,24,0,0,
1,2,148,0,47,0,1,
3,4,53,98,47,1,1,
1,2,71,145,48,0,1,
2,1,92,0,47,0,0,
3,4,61,0,35,0,0,
2,3,38,135,46,0,0,
1,4,58,0,62,0,0,
2,1,80,150,26,0,0,
3,4,71,0,38,0,0,
3,3,89,0,43,0,1,
3,1,83,0,62,0,0,
1,3,28,0,57,0,1,
2,4,52,0,28,0,0,
1,1,70,169,51,0,0,
3,1,71,0,48,0,1,
3,1,75,280,41,0,0,
3,3,170,99,65,0,0,
1,4,78,78,41,0,0,
2,2,25,0,35,0,0,
3,2,60,0,38,0,1,
2,4,120,111,53,1,0,
1,2,99,264,55,0,1,
3,3,55,113,26,0,1,
2,3,29,117,30,0,0,
2,2,170,325,54,0,0,
1,3,53,0,65,0,1,
1,1,138,0,47,0,0,
3,3,134,121,65,0,0,
3,2,42,138,66,0,1,
3,4,99,0,26,0,1,
1,3,18,0,66,0,1,
1,4,24,0,35,0,0,
1,1,55,77,56,0,0,
1,1,58,0,51,0,1,
3,2,111,251,42,0,0,
3,1,33,0,49,0,1,
2,4,74,112,27,0,1,
1,2,38,0,45,0,0,
3,4,23,98,49,1,0,
1,2,61,0,63,0,0,
1,1,81,138,47,0,0,
1,1,129,0,64,0,0,
3,1,33,0,43,0,0,
1,4,63,0,60,0,0,
2,4,70,0,40,0,0,
1,4,45,158,29,0,1,
3,3,65,0,41,0,0,
1,4,74,0,30,1,1,
3,4,50,0,49,1,0,
3,4,22,109,30,0,0,
3,4,30,0,29,0,0,
1,4,21,0,50,0,0,
1,2,155,0,39,0,0,
3,4,64,164,33,0,0,
3,4,65,0,57,0,1,
3,4,71,0,34,0,0,
2,3,40,0,61,1,0,
3,3,69,0,44,0,0,
2,3,69,0,40,0,0,
2,3,45,131,51,0,0,
2,3,62,0,37,0,1,
3,2,172,391,44,1,0,
2,3,24,0,42,0,1,
1,1,80,0,51,0,0,
2,3,8,88,43,0,0,
1,4,38,129,30,0,1,
3,4,93,0,45,0,0,
1,1,55,0,35,0,0,
3,2,64,0,60,0,1,
1,1,122,0,34,0,0,
3,3,70,0,55,0,0,
1,2,81,0,43,0,0,
3,1,159,0,41,0,0,
1,4,70,0,34,1,0,
1,2,150,196,65,0,0,
1,2,152,0,45,0,0,
1,4,195,617,49,0,0,
1,1,22,0,48,0,0,
1,1,22,123,60,0,0,
1,3,79,0,55,0,1,
3,1,33,0,42,0,0,
1,2,128,0,32,0,1,
1,1,91,0,62,1,0,
1,4,39,0,57,0,1,
