,Credit_History,LoanAmount,ApplicantIncome,Loan_Status
0,1.0,128.0,5849,Y
1,1.0,128.0,4583,N
2,1.0,66.0,3000,Y
3,1.0,120.0,2583,Y
4,1.0,141.0,6000,Y
5,1.0,267.0,5417,Y
6,1.0,95.0,2333,Y
7,0.0,158.0,3036,N
8,1.0,168.0,4006,Y
9,1.0,349.0,12841,N
10,1.0,70.0,3200,Y
11,1.0,109.0,2500,Y
12,1.0,200.0,3073,Y
13,1.0,114.0,1853,N
14,1.0,17.0,1299,Y
15,1.0,125.0,4950,Y
16,1.0,100.0,3596,Y
17,0.0,76.0,3510,N
18,1.0,133.0,4887,N
19,1.0,115.0,2600,Y
20,0.0,104.0,7660,N
21,1.0,315.0,5955,Y
22,0.0,116.0,2600,N
23,0.0,112.0,3365,N
24,1.0,151.0,3717,N
25,1.0,191.0,9560,Y
26,1.0,122.0,2799,Y
27,1.0,110.0,4226,Y
28,1.0,35.0,1442,N
29,1.0,120.0,3750,Y
30,1.0,201.0,4166,N
31,1.0,74.0,3167,N
32,1.0,106.0,4692,N
33,1.0,114.0,3500,Y
34,1.0,320.0,12500,N
35,1.0,128.0,2275,Y
36,0.0,100.0,1828,N
37,1.0,144.0,3667,Y
38,1.0,184.0,4166,Y
39,1.0,110.0,3748,Y
40,1.0,80.0,3600,N
41,1.0,47.0,1800,Y
42,1.0,75.0,2400,Y
43,1.0,134.0,3941,Y
44,1.0,96.0,4695,Y
45,1.0,88.0,3410,Y
46,1.0,44.0,5649,Y
47,1.0,144.0,5821,Y
48,0.0,120.0,2645,N
49,1.0,144.0,4000,Y
50,1.0,100.0,1928,Y
51,1.0,120.0,3086,Y
52,1.0,112.0,4230,N
53,1.0,134.0,4616,N
54,0.0,286.0,11500,N
55,1.0,97.0,2708,Y
56,1.0,96.0,2132,Y
57,1.0,135.0,3366,N
58,1.0,180.0,8080,Y
59,1.0,144.0,3357,Y
60,1.0,120.0,2500,Y
61,1.0,99.0,3029,Y
62,0.0,165.0,2609,N
63,0.0,128.0,4945,N
64,0.0,116.0,4166,N
65,1.0,258.0,5726,N
66,0.0,126.0,3200,N
67,1.0,312.0,10750,Y
68,1.0,125.0,7100,Y
69,0.0,136.0,4300,N
70,1.0,172.0,3208,Y
71,1.0,97.0,1875,Y
72,1.0,81.0,3500,Y
73,0.0,95.0,4755,N
